iter, 277, gw, 44, gd, 1482
iter, 278, gw, 40, gd, 1441
iter, 279, gw, 44, gd, 1432
iter, 280, gw, 31, gd, 1479
iter, 281, gw, 31, gd, 1443
iter, 282, gw, 25, gd, 1480
iter, 283, gw, 25, gd, 1470
iter, 284, gw, 27, gd, 1468
iter, 285, gw, 26, gd, 1473
iter, 286, gw, 29, gd, 1427
iter, 287, gw, 26, gd, 1468
iter, 288, gw, 25, gd, 1445
iter, 289, gw, 34, gd, 1466
iter, 290, gw, 28, gd, 1499
iter, 291, gw, 37, gd, 1494
iter, 292, gw, 23, gd, 1451
iter, 293, gw, 31, gd, 1532
iter, 294, gw, 22, gd, 1451
iter, 295, gw, 21, gd, 1464
iter, 296, gw, 39, gd, 1427
iter, 297, gw, 25, gd, 1514
iter, 298, gw, 28, gd, 1494
iter, 299, gw, 32, gd, 1444
iter, 300, gw, 23, gd, 1484
iter, 301, gw, 22, gd, 1457
iter, 302, gw, 46, gd, 1471
iter, 303, gw, 25, gd, 1440
iter, 304, gw, 29, gd, 1477
iter, 305, gw, 22, gd, 1462
iter, 306, gw, 29, gd, 1461
iter, 307, gw, 28, gd, 1437
iter, 308, gw, 40, gd, 1446
iter, 309, gw, 29, gd, 1442
iter, 310, gw, 22, gd, 1425
iter, 311, gw, 21, gd, 1443
iter, 312, gw, 24, gd, 1440
iter, 313, gw, 27, gd, 1424
iter, 314, gw, 21, gd, 1476
iter, 315, gw, 30, gd, 1433
iter, 316, gw, 25, gd, 1439
iter, 317, gw, 45, gd, 1457
iter, 318, gw, 42, gd, 1475
iter, 319, gw, 32, gd, 1519
iter, 320, gw, 28, gd, 1461
iter, 321, gw, 23, gd, 1471
iter, 322, gw, 25, gd, 1383
iter, 323, gw, 24, gd, 1469
iter, 324, gw, 28, gd, 1480
iter, 325, gw, 30, gd, 1454
iter, 326, gw, 31, gd, 1466
iter, 327, gw, 23, gd, 1473
iter, 328, gw, 31, gd, 1471
iter, 329, gw, 25, gd, 1470
iter, 330, gw, 21, gd, 1477
iter, 331, gw, 26, gd, 1433
iter, 332, gw, 27, gd, 1446
iter, 333, gw, 26, gd, 1428
iter, 334, gw, 26, gd, 1465
iter, 335, gw, 27, gd, 1465
iter, 336, gw, 26, gd, 1460
iter, 337, gw, 23, gd, 1465
iter, 338, gw, 25, gd, 1425
iter, 339, gw, 25, gd, 1466
iter, 340, gw, 27, gd, 1464
iter, 341, gw, 24, gd, 1438
iter, 342, gw, 32, gd, 1425
iter, 343, gw, 29, gd, 1456
iter, 344, gw, 23, gd, 1452
iter, 345, gw, 23, gd, 1447
iter, 346, gw, 27, gd, 1453
iter, 347, gw, 24, gd, 1464
iter, 348, gw, 36, gd, 1427
iter, 349, gw, 33, gd, 1426
iter, 350, gw, 26, gd, 1424
iter, 351, gw, 27, gd, 1445
iter, 352, gw, 28, gd, 1430
iter, 353, gw, 59, gd, 1427
iter, 354, gw, 36, gd, 1409
iter, 355, gw, 25, gd, 1426
iter, 356, gw, 23, gd, 1426
iter, 357, gw, 30, gd, 1421
iter, 358, gw, 23, gd, 1486
iter, 359, gw, 28, gd, 1473
iter, 360, gw, 25, gd, 1454
iter, 361, gw, 23, gd, 1435
iter, 362, gw, 27, gd, 1405
iter, 363, gw, 33, gd, 1446
iter, 364, gw, 36, gd, 1439
iter, 365, gw, 36, gd, 1452
iter, 366, gw, 37, gd, 1485
iter, 367, gw, 25, gd, 1455
iter, 368, gw, 35, gd, 1435
iter, 369, gw, 31, gd, 1441
iter, 370, gw, 23, gd, 1425
iter, 371, gw, 44, gd, 1466
iter, 372, gw, 35, gd, 1449
iter, 373, gw, 25, gd, 1428
iter, 374, gw, 23, gd, 1439
iter, 375, gw, 28, gd, 1378
iter, 376, gw, 28, gd, 1470
iter, 377, gw, 35, gd, 1423
iter, 378, gw, 34, gd, 1453
iter, 379, gw, 23, gd, 1426
iter, 380, gw, 26, gd, 1456
iter, 381, gw, 28, gd, 1440
iter, 382, gw, 30, gd, 1450
iter, 383, gw, 35, gd, 1418
iter, 384, gw, 38, gd, 1405
iter, 385, gw, 54, gd, 1426
iter, 386, gw, 44, gd, 1449
iter, 387, gw, 23, gd, 1457
iter, 388, gw, 25, gd, 1429
iter, 389, gw, 25, gd, 1448
iter, 390, gw, 21, gd, 1434
iter, 391, gw, 27, gd, 1434
iter, 392, gw, 23, gd, 1468
iter, 393, gw, 23, gd, 1426
iter, 394, gw, 23, gd, 1468
iter, 395, gw, 24, gd, 1377
iter, 396, gw, 23, gd, 1392
iter, 397, gw, 24, gd, 1404
iter, 398, gw, 26, gd, 1428
iter, 399, gw, 34, gd, 1476
iter, 400, gw, 24, gd, 1441
iter, 401, gw, 29, gd, 1447
iter, 402, gw, 61, gd, 1470
iter, 403, gw, 31, gd, 1418
iter, 404, gw, 50, gd, 1399
iter, 405, gw, 23, gd, 1395
iter, 406, gw, 28, gd, 1417
iter, 407, gw, 26, gd, 1466
iter, 408, gw, 28, gd, 1438
iter, 409, gw, 24, gd, 1406
iter, 410, gw, 28, gd, 1426
iter, 411, gw, 26, gd, 1415
iter, 412, gw, 32, gd, 1409
iter, 413, gw, 31, gd, 1412
iter, 414, gw, 61, gd, 1422
iter, 415, gw, 27, gd, 1426
iter, 416, gw, 25, gd, 1426
iter, 417, gw, 24, gd, 1403
iter, 418, gw, 24, gd, 1449
iter, 419, gw, 24, gd, 1436
iter, 420, gw, 23, gd, 1400
iter, 421, gw, 32, gd, 1475
iter, 422, gw, 27, gd, 1431
iter, 423, gw, 26, gd, 1436
iter, 424, gw, 30, gd, 1432
iter, 425, gw, 34, gd, 1415
iter, 426, gw, 31, gd, 1393
iter, 427, gw, 26, gd, 1409
iter, 428, gw, 33, gd, 1371
iter, 429, gw, 30, gd, 1403
iter, 430, gw, 24, gd, 1413
iter, 431, gw, 31, gd, 1448
iter, 432, gw, 39, gd, 1416
iter, 433, gw, 25, gd, 1400
iter, 434, gw, 191, gd, 1364
iter, 435, gw, 27, gd, 1394
iter, 436, gw, 41, gd, 1414
iter, 437, gw, 48, gd, 1416
iter, 438, gw, 42, gd, 1448
iter, 439, gw, 27, gd, 1414
iter, 440, gw, 29, gd, 1442
iter, 441, gw, 41, gd, 1438
iter, 442, gw, 27, gd, 1445
iter, 443, gw, 33, gd, 1384
iter, 444, gw, 25, gd, 1386
iter, 445, gw, 27, gd, 1425
iter, 446, gw, 40, gd, 1411
iter, 447, gw, 34, gd, 1410
iter, 448, gw, 27, gd, 1403
iter, 449, gw, 23, gd, 1402
iter, 450, gw, 27, gd, 1354
iter, 451, gw, 61, gd, 1407
iter, 452, gw, 28, gd, 1457
iter, 453, gw, 29, gd, 1412
iter, 454, gw, 27, gd, 1377
iter, 455, gw, 25, gd, 1436
iter, 456, gw, 103, gd, 1416
iter, 457, gw, 42, gd, 1406
iter, 458, gw, 47, gd, 1425
iter, 459, gw, 33, gd, 1405
iter, 460, gw, 50, gd, 1405
iter, 461, gw, 47, gd, 1419
